Prioridade,Orçamento,Natureza,Tribunal de Origem,Autos do precatório,Valor Deferido,Situação,Local,Regime
Normal,2025,Comum,TJSC,5018429-47.2024.8.24.0000,376674.54,Indefinido,Hospital_Santo_Antonio_-_Armazém_Geral,Geral
Normal,2026,Alimentar,TJSC,5044576-13.2024.8.24.0000,549725.92,Indefinido,INSTITUTO_DE_PREVIDENCIA_SOCIAL_DOS_SERVIDORES_PUBLICOS_DO_MUNICIPIO_DE_SALTO_VELOSO_(IPRESVEL)_Geral,Geral
Normal,2026,Alimentar,TJSC,5044577-95.2024.8.24.0000,145677.37,Indefinido,INSTITUTO_DE_PREVIDENCIA_SOCIAL_DOS_SERVIDORES_PUBLICOS_DO_MUNICIPIO_DE_SALTO_VELOSO_(IPRESVEL)_Geral,Geral
Doença,2025,Alimentar,TJSC,5015614-77.2024.8.24.0000,136620.0,Indefinido,Instituto_de_Previdência_do_Município_de_Mafra_Geral,Geral
Normal,2025,Alimentar,TJSC,5015614-77.2024.8.24.0000,188560.13,Indefinido,Instituto_de_Previdência_do_Município_de_Mafra_Geral,Geral
Idade,2025,Alimentar,TJSC,5018677-13.2024.8.24.0000,136620.0,Indefinido,INSTITUTO_DE_PREVIDÊNCIA_SOCIAL_DO_MUNICÍPIO_DE_NAVEGANTES_-_NAVEGANTESPREV_Geral,Geral
Normal,2025,Alimentar,TJSC,5010810-66.2024.8.24.0000,400761.53,Indefinido,Instuto_de_Previdência_Social_dos_Servidores_Públicos_do_Município_de_Tijucas_-_PREVISERTI_Geral,Geral
Normal,2025,Comum,TJSC,5015863-28.2024.8.24.0000,265912.6,Indefinido,Iprepav_-_Instituto_de_Previdencia_Social_dos_Servidores_do_Municipio_de_Papanduva_Geral,Geral
Normal,2025,Alimentar,TJSC,5017343-41.2024.8.24.0000,232094.69,Indefinido,Ipresbs-Instituto_de_Previdência_Social_dos_Servidores_Públicos_do_Município_de_São_Bento_do_Sul_Geral,Geral
Idade,2026,Alimentar,TJSC,5076182-59.2024.8.24.0000,136620.0,Indefinido,IPREVILLE_-_Instituto_de_Previdência_Social_dos_Servidores_Públicos_do_Município_de_Joinville_Geral,Geral
Normal,2025,Alimentar,TJSC,5018316-93.2024.8.24.0000,217758.25,Indefinido,IPREVILLE_-_Instituto_de_Previdência_Social_dos_Servidores_Públicos_do_Município_de_Joinville_Geral,Geral
Normal,2026,Alimentar,TJSC,5040438-03.2024.8.24.0000,140067.34,Indefinido,Município_de_Araquari_Geral,Geral
Normal,2026,Alimentar,TJSC,5040439-85.2024.8.24.0000,140067.34,Indefinido,Município_de_Araquari_Geral,Geral
Normal,2026,Alimentar,TJSC,5040440-70.2024.8.24.0000,140067.34,Indefinido,Município_de_Araquari_Geral,Geral
Normal,2026,Alimentar,TJSC,5040441-55.2024.8.24.0000,140067.34,Indefinido,Município_de_Araquari_Geral,Geral
Normal,2026,Alimentar,TJSC,5050550-31.2024.8.24.0000,99731.94,Indefinido,Município_de_Araquari_Geral,Geral
Normal,2025,Alimentar,TJSC,5009838-96.2024.8.24.0000,113002.36,Indefinido,Município_de_Armazém_Geral,Geral
Normal,2025,Comum,TJSC,5009839-81.2024.8.24.0000,753349.09,Indefinido,Município_de_Armazém_Geral,Geral
Normal,2025,Comum,TJSC,5018430-32.2024.8.24.0000,376674.54,Indefinido,Município_de_Armazém_Geral,Geral
Idade,2025,Alimentar,TJSC,5018305-64.2024.8.24.0000,123987.35,Indefinido,Município_de_Aurora_Geral,Geral
Normal,2025,Comum,TJSC,5018306-49.2024.8.24.0000,162320.89,Indefinido,Município_de_Aurora_Geral,Geral
Normal,2026,Comum,TJSC,5077353-51.2024.8.24.0000,663318.59,Indefinido,Município_de_Balneário_Rincão_Geral,Geral
Normal,2026,Comum,TJSC,5000569-96.2025.8.24.0000,258425.45,Indefinido,Município_de_Benedito_Novo_Geral,Geral
Normal,2024,Comum,TJSC,5065495-91.2022.8.24.0000,159661.97,Indefinido,Município_de_Bom_Jesus_Geral,Geral
Normal,2026,Comum,TJSC,5020748-85.2024.8.24.0000,109224.95,Indefinido,Município_de_Bom_Retiro_Geral,Geral
Normal,2026,Alimentar,TJSC,5003357-83.2025.8.24.0000,193803.07,Indefinido,Município_de_Brunópolis_Geral,Geral
Normal,2026,Comum,TJSC,5076011-05.2024.8.24.0000,202241.4,Indefinido,Município_de_Campo_Belo_do_Sul_Geral,Geral
Normal,2026,Comum,TJSC,5083276-58.2024.8.24.0000,103258.81,Indefinido,Município_de_Campo_Belo_do_Sul_Geral,Geral
Normal,2025,Comum,TJSC,5010024-22.2024.8.24.0000,124816.18,Indefinido,Município_de_Campo_Erê_Geral,Geral
Idade,2025,Alimentar,TJSC,5062880-94.2023.8.24.0000,105644.14,Indefinido,Município_de_Capinzal_Geral,Geral
Normal,2026,Alimentar,TJSC,5033903-58.2024.8.24.0000,201697.91,Indefinido,Município_de_Capinzal_Geral,Geral
Normal,2026,Comum,TJSC,5020413-66.2024.8.24.0000,175033.25,Indefinido,Município_de_Capinzal_Geral,Geral
Normal,2026,Comum,TJSC,5020414-51.2024.8.24.0000,136136.97,Indefinido,Município_de_Capinzal_Geral,Geral
Normal,2025,Comum,TJSC,5015081-21.2024.8.24.0000,120038.17,Indefinido,Município_de_Catanduvas_Geral,Geral
Idade,2025,Alimentar,TJSC,5054094-61.2023.8.24.0000,136620.0,Indefinido,Município_de_Celso_Ramos_Geral,Geral
Normal,2025,Alimentar,TJSC,5054094-61.2023.8.24.0000,686609.17,Indefinido,Município_de_Celso_Ramos_Geral,Geral
Normal,2024,Comum,TJSC,5014662-35.2023.8.24.0000,177925.49,Indefinido,Município_de_Erval_Velho_Especial,Especial
Normal,2024,Comum,TJSC,5014663-20.2023.8.24.0000,148271.24,Indefinido,Município_de_Erval_Velho_Especial,Especial
